date,code,prt_stock,prt_rate_b,prt_cred_b,prt_conv_b
2022/9/30,000149.OF,0,0.154700675,0.688391571,0.027400842
2022/12/31,000149.OF,0,0.338836377,0.615631902,0.041146498
2019/12/31,000171.OF,0.145207834,0.04643518,0.655777793,0.088904886
2020/3/31,000171.OF,0.098475494,0.210899693,0.616526955,0.049689059
2020/6/30,000171.OF,0.150098705,0.087148123,0.654991026,0.072742825
2020/9/30,000171.OF,0.164219246,0.045272675,0.678064604,0.092811022
2020/12/31,000171.OF,0.164565277,0.045348714,0.684159858,0.068627033
2021/3/31,000171.OF,0.155094814,0.052376776,0.715404477,0.060683942
2021/6/30,000171.OF,0.172543621,0.105519695,0.624668436,0.060402308
2021/9/30,000171.OF,0.154263163,0.161622653,0.599086471,0.06347827
2021/12/31,000171.OF,0.133203487,0.154358578,0.618202353,0.053851347
2022/3/31,000171.OF,0.138090515,0.155134239,0.651118736,0.044514847
2022/6/30,000171.OF,0.15535985,0.195955563,0.556364117,0.066771812
2022/9/30,000171.OF,0.111422758,0.379132841,0.432116664,0.050011711
2022/12/31,000171.OF,0.130323629,0.395990524,0.388490744,0.061215601
2019/12/31,000181.OF,0,0.554157701,0.27944078,0.126221771
2020/3/31,000181.OF,0.121090832,0.460898857,0.200422478,0.191922607
2020/6/30,000181.OF,0.078460245,0.595593109,0.234661365,0.047582288
2020/9/30,000181.OF,0.130786667,0.264289093,0.301082935,0.267993145
2020/12/31,000181.OF,0,0.483199616,0.003982964,0.400588417
2021/3/31,000181.OF,0,0.120623684,0.789376316,0
2021/6/30,000181.OF,0,0.11644495,0.766991787,0
2021/9/30,000181.OF,0,0.299157639,0.666448364,0
2021/12/31,000181.OF,0,0.376077766,0.600204735,0
2022/3/31,000181.OF,0,0.418165588,0.561254425,0
2022/6/30,000181.OF,0,0.341623497,0.594538689,0
2022/9/30,000181.OF,0,0.24860775,0.641404378,0.009408419
2022/12/31,000181.OF,0,0.415590668,0.499304743,0.027766867
2019/12/31,000189.OF,0.139240809,0.037637727,0.521162016,0.246481857
2020/3/31,000189.OF,0.114764957,0.214902334,0.427768068,0.167647667
2020/6/30,000189.OF,0.16003933,0.043916807,0.537550135,0.213244972
2020/9/30,000189.OF,0.157119989,0.067840205,0.530478333,0.204179554
2020/12/31,000189.OF,0.170955524,0.133944659,0.503498483,0.16124773
2021/3/31,000189.OF,0.153380117,0.145748854,0.544645643,0.134462605
2021/6/30,000189.OF,0.146910524,0.116909107,0.57516605,0.128086815
2021/9/30,000189.OF,0.136864014,0.145056253,0.599471545,0.099041157
2021/12/31,000189.OF,0.142055864,0.358448753,0.419893694,0.062107
2022/3/31,000189.OF,0.16151268,0.345547676,0.430782166,0.048831825
2022/6/30,000189.OF,0.149878674,0.351963844,0.433934174,0.055147362
2022/9/30,000189.OF,0.114487104,0.475620394,0.357912393,0.044871068
2022/12/31,000189.OF,0.126914721,0.425670891,0.330737829,0.094163942
2019/12/31,000190.OF,0.291990185,0.074016399,0.594974452,0.00129876
