基金代码,基金简称,基金成立日,修正基金成立日,成立年限,基金标签,投资类型(二级),基金经理(现任),基金公司,是否定期开放基金,管理费(%),托管费(%),申购赎回状态,基金规模(合计)
003167.OF,前海开源鼎瑞A,2016/8/16,2016/8/16,5.55,稳健型,混合债券型二级基金,"吴国清,李炳智,王旭巍",前海开源基金,否,0.6,0.15,开放申购|开放赎回,21.84
003176.OF,德邦景颐A,2016/8/26,2016/8/26,5.52,稳健型,混合债券型二级基金,"范文静,陈雷",德邦基金,否,0.3,0.1,开放申购|开放赎回,3
003180.OF,前海联合添利A,2016/11/11,2016/11/11,5.31,激进型,混合债券型二级基金,黄浩东,新疆前海联合基金,否,0.7,0.2,开放申购|开放赎回,1.17
003182.OF,华富弘鑫A,2016/11/28,2016/11/28,5.26,平衡型,灵活配置型基金,张惠,华富基金,否,0.6,0.15,暂停大额申购|开放赎回,5.26
003186.OF,鹏华兴安定期开放,2016/9/27,2016/9/27,5.43,激进型,灵活配置型基金,李韵怡,鹏华基金,是,0.6,0.1,暂停申购|暂停赎回,1.82
003187.OF,嘉实安益,2016/8/25,2016/8/25,5.52,稳健型,灵活配置型基金,"赖礼辉,王亚洲",嘉实基金,否,0.6,0.1,暂停大额申购|开放赎回,2.74
003218.OF,前海开源祥和A,2016/11/28,2016/11/28,5.26,稳健型,混合债券型二级基金,章俊,前海开源基金,否,0.7,0.1,开放申购|开放赎回,20.67
003234.OF,信诚至利A,2016/9/2,2016/9/2,5.5,稳健型,灵活配置型基金,王颖,中信保诚基金,否,0.6,0.1,暂停大额申购|开放赎回,10.64
003282.OF,信诚至裕A,2016/9/29,2016/9/29,5.43,平衡型,灵活配置型基金,韩海平,中信保诚基金,否,0.6,0.1,开放申购|开放赎回,24.92
003295.OF,南方安裕A,2016/11/15,2016/11/15,5.3,平衡型,偏债混合型基金,林乐峰,南方基金,否,1,0.2,开放申购|开放赎回,53.69
003301.OF,华夏鼎融A,2016/11/7,2016/11/7,5.32,平衡型,混合债券型二级基金,张弘弢,华夏基金,否,0.6,0.2,暂停大额申购|开放赎回,1.32
003336.OF,长江收益增强,2016/10/17,2016/10/17,5.38,平衡型,混合债券型二级基金,漆志伟,长江资管,否,0.5,0.1,开放申购|开放赎回,4.34
003341.OF,工银瑞信瑞盈,2016/11/2,2016/11/2,5.33,稳健型,混合债券型二级基金,"李敏,周晖",工银瑞信基金,是,0.7,0.1,暂停申购|暂停赎回,5.07
003345.OF,安信新成长A,2016/9/29,2016/9/29,5.43,平衡型,灵活配置型基金,"陈一峰,庄园,陈思",安信基金,否,0.6,0.25,暂停大额申购|开放赎回,7.37
003360.OF,前海开源瑞和A,2017/3/30,2017/3/30,4.93,稳健型,混合债券型二级基金,"吴国清,李炳智,王旭巍",前海开源基金,否,0.5,0.1,开放申购|开放赎回,12.63
003379.OF,信诚至选A,2016/11/8,2016/11/8,5.32,平衡型,灵活配置型基金,"提云涛,杨立春",中信保诚基金,否,0.6,0.1,暂停大额申购|开放赎回,8.81
003432.OF,信诚至瑞A,2016/10/21,2016/10/21,5.37,平衡型,灵活配置型基金,"提云涛,杨立春",中信保诚基金,否,0.6,0.1,暂停大额申购|开放赎回,9.91
003476.OF,南方安颐,2016/12/14,2016/12/14,5.22,平衡型,偏债混合型基金,吴剑毅,南方基金,否,1,0.2,开放申购|开放赎回,8.64
003484.OF,金鹰鑫益A,2016/11/16,2016/11/16,5.3,平衡型,灵活配置型基金,"林龙军,孙倩倩",金鹰基金,否,0.7,0.1,开放申购|开放赎回,5.94
003493.OF,申万菱信安鑫优选A,2016/11/7,2016/11/7,5.32,平衡型,偏债混合型基金,"叶瑜珍,范磊,廖明兵",申万菱信基金,否,0.6,0.2,开放申购|开放赎回,7.97
003495.OF,鹏华弘尚A,2016/10/25,2016/10/25,5.36,平衡型,灵活配置型基金,张栓伟,鹏华基金,否,0.6,0.1,暂停大额申购|开放赎回,8.73
003502.OF,金鹰鑫瑞A,2016/12/6,2016/12/6,5.24,稳健型,灵活配置型基金,"龙悦芳,倪超",金鹰基金,否,0.6,0.1,暂停大额申购|开放赎回,7.33
003591.OF,华泰柏瑞享利A,2016/12/29,2016/12/29,5.18,激进型,灵活配置型基金,"郑青,董辰",华泰柏瑞基金,否,0.6,0.15,暂停大额申购|开放赎回,8.59
003601.OF,申万菱信安鑫精选A,2016/11/18,2016/11/18,5.29,激进型,偏债混合型基金,范磊,申万菱信基金,否,0.6,0.2,暂停大额申购|开放赎回,4.98
003603.OF,景顺长城泰安A,2016/12/9,2016/12/9,5.23,平衡型,灵活配置型基金,陈莹,景顺长城基金,否,0.5,0.1,暂停大额申购|开放赎回,7.4
003612.OF,南方卓元A,2016/11/11,2016/11/11,5.31,稳健型,混合债券型二级基金,郑迎迎,南方基金,否,0.5,0.1,开放申购|开放赎回,5.69
003628.OF,兴银收益增强,2016/11/28,2016/11/28,5.26,平衡型,混合债券型二级基金,"范泰奇,袁作栋",兴银基金,否,0.7,0.2,开放申购|开放赎回,1.16
003637.OF,安信永鑫增强A,2017/1/13,2018/6/12,5.14,稳健型,混合债券型二级基金,"李君,黄琬舒",安信基金,否,0.6,0.15,暂停大额申购|开放赎回,5.66
003692.OF,大成景尚A,2016/11/11,2016/11/11,5.31,稳健型,灵活配置型基金,"王磊,孙丹",大成基金,否,0.6,0.15,开放申购|开放赎回,5.05
003754.OF,国泰普益A,2016/12/23,2016/12/23,5.19,激进型,灵活配置型基金,王琳,国泰基金,否,0.6,0.1,暂停大额申购|开放赎回,10.13
003780.OF,鹏华兴悦,2016/12/13,2016/12/13,5.22,激进型,灵活配置型基金,刘方正,鹏华基金,是,0.7,0.1,暂停申购|暂停赎回,4.53
003797.OF,华安新瑞利A,2016/12/1,2016/12/1,5.25,平衡型,灵活配置型基金,石雨欣,华安基金,否,0.6,0.1,开放申购|开放赎回,1.3
003799.OF,华安新泰利A,2016/12/9,2016/12/9,5.23,平衡型,灵活配置型基金,"朱才敏,舒灏",华安基金,否,0.6,0.1,暂停大额申购|开放赎回,9.87
003805.OF,华安新恒利A,2016/12/9,2016/12/9,5.23,平衡型,灵活配置型基金,石雨欣,华安基金,否,0.6,0.1,开放申购|开放赎回,9.42
003813.OF,泰康金泰回报3个月,2017/1/22,2017/1/22,5.11,稳健型,偏债混合型基金,"陈怡,蒋利娟",泰康资产,是,0.8,0.15,暂停申购|暂停赎回,6.73
003828.OF,鹏华兴惠,2017/1/25,2017/1/25,5.1,平衡型,灵活配置型基金,李韵怡,鹏华基金,是,0.7,0.1,暂停申购|暂停赎回,6.64
003839.OF,易方达瑞通A,2016/12/7,2016/12/7,5.24,激进型,灵活配置型基金,林森,易方达基金,否,0.6,0.1,暂停大额申购|开放赎回,15.5
003842.OF,中邮景泰A,2016/12/29,2016/12/29,5.18,平衡型,灵活配置型基金,"闫宜乘,江刘玮",中邮基金,否,0.7,0.2,开放申购|开放赎回,5.76
003845.OF,汇安丰恒A,2017/3/13,2017/3/13,4.98,稳健型,灵活配置型基金,金鸿峰,汇安基金,否,0.6,0.1,开放申购|开放赎回,1.67
003848.OF,中银广利A,2016/12/14,2016/12/14,5.22,平衡型,灵活配置型基金,苗婷,中银基金,否,0.6,0.1,暂停大额申购|开放赎回,5.59
003850.OF,中银锦利A,2016/12/22,2016/12/22,5.2,平衡型,灵活配置型基金,杨成,中银基金,否,0.6,0.1,开放申购|开放赎回,8.47
003854.OF,汇安丰华A,2017/1/10,2017/1/10,5.15,稳健型,灵活配置型基金,陆丰,汇安基金,否,0.6,0.1,开放申购|开放赎回,2.03
003861.OF,招商兴福A,2016/12/6,2016/12/6,5.24,平衡型,灵活配置型基金,张韵,招商基金,否,0.6,0.2,暂停大额申购|开放赎回,6.43
003882.OF,易方达瑞弘A,2017/1/11,2017/1/11,5.14,激进型,灵活配置型基金,林森,易方达基金,否,0.6,0.1,暂停大额申购|开放赎回,8.82
003900.OF,交银瑞鑫定期开放,2016/12/14,2016/12/14,5.22,平衡型,灵活配置型基金,王艺伟,交银施罗德基金,是,0.6,0.1,暂停申购|暂停赎回,12.71
003950.OF,博时鑫润A,2016/12/7,2016/12/7,5.24,激进型,灵活配置型基金,程卓,博时基金,否,0.5,0.1,暂停大额申购|开放赎回,4.09
003966.OF,中银润利A,2016/12/14,2016/12/14,5.22,平衡型,灵活配置型基金,宋殿宇,中银基金,否,0.6,0.1,开放申购|开放赎回,7.36
004010.OF,华泰柏瑞鼎利A,2016/12/22,2016/12/22,5.2,平衡型,灵活配置型基金,"郑青,董辰",华泰柏瑞基金,否,0.6,0.15,暂停大额申购|开放赎回,9.91
004024.OF,华泰保兴尊诚,2017/2/23,2017/2/23,5.02,稳健型,中长期纯债型基金,张挺,华泰保兴基金,是,0.6,0.2,暂停申购|暂停赎回,35.93
004025.OF,融通收益增强A,2017/8/30,2017/8/30,4.51,平衡型,混合债券型二级基金,张一格,融通基金,否,0.7,0.2,开放申购|开放赎回,5.09
004083.OF,国联安鑫隆A,2017/3/3,2017/3/3,5,激进型,偏债混合型基金,"杨子江,陈建华",国联安基金,否,0.6,0.1,暂停大额申购|开放赎回,3.01
004093.OF,金元顺安桉盛A,2017/3/30,2017/3/30,4.93,平衡型,混合债券型二级基金,"郭建新,闵杭",金元顺安基金,否,0.5,0.1,暂停大额申购|开放赎回,12.29
004100.OF,鹏华安益增强,2017/2/22,2017/2/22,5.03,平衡型,偏债混合型基金,方昶,鹏华基金,否,1.2,0.25,暂停大额申购|开放赎回,7.2
004129.OF,国联安鑫汇A,2017/3/1,2017/3/1,5.01,激进型,偏债混合型基金,"薛琳,杨子江",国联安基金,否,0.6,0.15,暂停大额申购|开放赎回,2.75
004131.OF,国联安鑫发A,2017/3/2,2017/3/2,5.01,平衡型,偏债混合型基金,"薛琳,杨子江,林渌",国联安基金,否,0.6,0.15,暂停大额申购|开放赎回,8.12
004144.OF,上投摩根安丰回报A,2017/1/18,2017/1/18,5.12,平衡型,偏债混合型基金,杨鑫,上投摩根基金,否,0.7,0.1,开放申购|开放赎回,5.16
004149.OF,博时鑫惠A,2017/1/10,2017/1/10,5.15,平衡型,灵活配置型基金,"杨永光,王惟",博时基金,否,0.5,0.1,暂停大额申购|开放赎回,8.57
004153.OF,信诚新悦回报A,2016/12/29,2016/12/29,5.18,激进型,灵活配置型基金,"吴昊,孙浩中",中信保诚基金,否,0.6,0.1,暂停大额申购|开放赎回,4.09
004166.OF,东方价值挖掘A,2017/5/17,2017/5/17,4.8,平衡型,灵活配置型基金,金凤,东方基金,否,0.7,0.1,暂停大额申购|开放赎回,4.36
004175.OF,博时鑫泰A,2016/12/29,2016/12/29,5.18,激进型,灵活配置型基金,杨永光,博时基金,否,0.6,0.1,暂停大额申购|开放赎回,3.33
004202.OF,华夏睿磐泰兴,2017/7/14,2017/7/14,4.64,平衡型,偏债混合型基金,宋洋,华夏基金,否,0.8,0.2,暂停大额申购|开放赎回,9.97
004206.OF,华商元亨,2017/1/25,2017/1/25,5.1,激进型,灵活配置型基金,胡中原,华商基金,否,0.6,0.1,暂停大额申购|开放赎回,8.11
004225.OF,国寿安保稳诚A,2017/1/20,2017/1/20,5.12,平衡型,偏债混合型基金,"方旭赟,吴坚",国寿安保基金,否,0.6,0.15,暂停大额申购|开放赎回,11.68
004258.OF,国寿安保稳嘉A,2017/2/10,2017/2/10,5.06,平衡型,偏债混合型基金,"李一鸣,李丹",国寿安保基金,否,0.6,0.1,开放申购|开放赎回,4.49
004265.OF,金鹰民丰回报,2017/6/28,2017/6/28,4.68,激进型,偏债混合型基金,林龙军,金鹰基金,是,1,0.2,暂停申购|暂停赎回,6.57
004270.OF,汇添富民丰回报A,2017/9/27,2017/9/27,4.43,激进型,偏债混合型基金,何彪,汇添富基金,否,1,0.2,暂停大额申购|开放赎回,1.31
004274.OF,浦银安盛安恒回报A,2018/8/9,2018/8/9,3.57,平衡型,偏债混合型基金,褚艳辉,浦银安盛基金,是,1,0.2,暂停申购|暂停赎回,2.2
004278.OF,东方红智逸沪港深,2017/4/14,2017/4/14,4.89,激进型,偏债混合型基金,"刚登峰,纪文静",东证资管,是,1.5,0.2,暂停申购|暂停赎回,36.43
004279.OF,国寿安保稳荣A,2017/2/10,2017/2/10,5.06,平衡型,偏债混合型基金,吴闻,国寿安保基金,否,0.6,0.1,开放申购|开放赎回,9.49
004301.OF,国寿安保稳信A,2017/3/8,2017/3/8,4.99,激进型,偏债混合型基金,"董瑞倩,李丹,高鑫",国寿安保基金,否,0.6,0.1,开放申购|开放赎回,1.88
004318.OF,国寿安保尊裕优化回报A,2017/3/23,2017/3/23,4.95,稳健型,混合债券型二级基金,"陶尹斌,丁宇佳",国寿安保基金,否,0.4,0.1,开放申购|开放赎回,3.23
004340.OF,泰康兴泰回报沪港深,2017/6/15,2017/6/15,4.72,平衡型,偏债混合型基金,"桂跃强,蒋利娟",泰康资产,否,1.2,0.2,暂停申购|暂停赎回,19.07
004405.OF,国寿安保稳寿A,2017/8/1,2017/8/1,4.59,平衡型,偏债混合型基金,"李一鸣,张标",国寿安保基金,否,0.6,0.1,暂停大额申购|开放赎回,9.88
004436.OF,汇添富年年泰A,2017/4/14,2017/4/14,4.89,平衡型,偏债混合型基金,"郑慧莲,徐一恒",汇添富基金,是,0.6,0.15,暂停申购|暂停赎回,3.07
004442.OF,中欧康裕A,2017/3/15,2017/3/15,4.97,稳健型,偏债混合型基金,"黄华,蒋雯文",中欧基金,否,0.6,0.1,开放申购|开放赎回,25.33
004446.OF,南方荣年定期开放A,2017/7/13,2017/7/13,4.64,平衡型,偏债混合型基金,"王景明,刘建岩",南方基金,是,0.6,0.15,暂停申购|暂停赎回,3.31
004517.OF,南方安康,2017/6/14,2017/6/14,4.72,平衡型,偏债混合型基金,林乐峰,南方基金,否,1,0.2,开放申购|开放赎回,29.6
004564.OF,北信瑞丰鼎利A,2018/1/25,2018/1/25,4.1,稳健型,混合债券型二级基金,林翟,北信瑞丰基金,否,0.6,0.1,开放申购|开放赎回,3.49
004571.OF,万家家瑞A,2017/9/20,2017/9/20,4.45,平衡型,混合债券型二级基金,尹诚庸,万家基金,否,0.7,0.2,开放申购|开放赎回,3.09
004585.OF,鹏扬汇利A,2017/6/2,2017/6/2,4.75,平衡型,混合债券型二级基金,"杨爱斌,焦翠",鹏扬基金,否,0.7,0.2,开放申购|开放赎回,96.37
004607.OF,长信利尚一年定开,2017/11/17,2017/11/17,4.29,平衡型,偏债混合型基金,"李家春,倪伟",长信基金,是,1.2,0.2,开放申购|开放赎回,1.95
004608.OF,长信乐信A,2017/12/7,2017/12/7,4.24,激进型,灵活配置型基金,朱垚,长信基金,否,0.6,0.11,暂停大额申购|开放赎回,1.14
004612.OF,银河鑫月享A,2018/3/28,2018/3/28,3.93,稳健型,灵活配置型基金,"刘铭,石磊",银河基金,是,0.6,0.1,暂停申购|暂停赎回,1.76
004648.OF,南方安睿,2017/7/13,2017/7/13,4.64,平衡型,偏债混合型基金,吴冉劼,南方基金,否,0.6,0.15,开放申购|开放赎回,10.17
004687.OF,汇添富熙和精选A,2018/2/11,2018/2/11,4.06,激进型,偏债混合型基金,何彪,汇添富基金,否,0.6,0.1,开放申购|开放赎回,1.69
004710.OF,民生加银鹏程A,2018/2/13,2018/2/13,4.05,平衡型,偏债混合型基金,"关键,柳世庆",民生加银基金,否,0.6,0.1,暂停大额申购|开放赎回,9.95
004720.OF,华夏睿磐泰茂A,2017/12/6,2017/12/6,4.24,平衡型,偏债混合型基金,宋洋,华夏基金,否,0.8,0.2,暂停大额申购|开放赎回,20.63
004738.OF,上投摩根安隆回报A,2018/2/8,2018/2/8,4.07,平衡型,偏债混合型基金,"陈圆明,唐瑭",上投摩根基金,否,0.6,0.1,开放申购|开放赎回,26.5
004750.OF,广发鑫和A,2018/1/16,2018/1/16,4.13,平衡型,灵活配置型基金,吴迪,广发基金,否,0.6,0.1,开放申购|开放赎回,7.71
004756.OF,国寿安保稳吉A,2017/12/26,2017/12/26,4.19,平衡型,偏债混合型基金,"吴闻,张标",国寿安保基金,否,0.6,0.1,暂停大额申购|开放赎回,9.4
004760.OF,国寿安保稳瑞A,2018/2/7,2018/2/7,4.07,激进型,偏债混合型基金,"方旭赟,李捷",国寿安保基金,否,0.6,0.1,开放申购|开放赎回,8.2
004772.OF,国寿安保稳泰A,2017/8/22,2017/8/22,4.53,平衡型,偏债混合型基金,"吴闻,吴坚",国寿安保基金,是,0.6,0.15,暂停申购|暂停赎回,5.77
004807.OF,中银证券安弘A,2017/8/9,2017/8/9,4.57,平衡型,混合债券型二级基金,"王玉玺,蒲延杰",中银证券,否,0.6,0.1,开放申购|开放赎回,13.3
004823.OF,上投摩根安裕回报A,2018/9/13,2018/9/13,3.47,激进型,偏债混合型基金,"陈圆明,唐瑭",上投摩根基金,否,0.7,0.15,开放申购|开放赎回,13.03
004852.OF,广发价值回报A,2017/11/29,2017/11/29,4.26,稳健型,偏债混合型基金,马文文,广发基金,否,0.8,0.1,开放申购|开放赎回,2.08
004885.OF,长信先优,2017/8/1,2017/8/1,4.59,稳健型,混合债券型二级基金,程放,长信基金,否,0.6,0.1,开放申购|开放赎回,2.25
004902.OF,富国丰利增强,2017/9/5,2017/9/5,4.49,平衡型,混合债券型二级基金,陈斯扬,富国基金,否,0.4,0.1,开放申购|开放赎回,23.71
004932.OF,招商丰拓A,2017/8/29,2017/8/29,4.51,激进型,灵活配置型基金,侯杰,招商基金,否,0.6,0.15,暂停大额申购|开放赎回,21.56
004946.OF,汇添富盈润A,2017/9/6,2017/9/6,4.49,平衡型,偏债混合型基金,胡奕,汇添富基金,否,1,0.25,开放申购|开放赎回,7.87
004975.OF,交银恒益A,2017/9/15,2017/9/15,4.47,平衡型,灵活配置型基金,王艺伟,交银施罗德基金,否,0.6,0.25,开放申购|开放赎回,12.74
005014.OF,泰康景泰回报A,2017/12/13,2017/12/13,4.22,激进型,偏债混合型基金,"黄钟,宋仁杰",泰康资产,否,1.2,0.2,开放申购|开放赎回,15.71
005039.OF,鹏扬景兴A,2017/9/27,2017/9/27,4.43,激进型,偏债混合型基金,"罗成,焦翠",鹏扬基金,否,0.7,0.1,开放申购|开放赎回,1.85
