基金代码,基金简称,基金成立日,修正基金成立日,成立年限,基金标签,投资类型(二级),基金经理(现任),基金公司,是否定期开放基金,管理费(%),托管费(%),申购赎回状态,基金规模(合计)
540001.OF,汇丰晋信2016,2006/5/23,2006/5/23,15.79,稳健型,混合债券型二级基金,蔡若林,汇丰晋信基金,否,0.38,0.1,开放申购|开放赎回,1.34
550004.OF,信诚三得益债券A,2008/9/27,2008/9/27,13.44,平衡型,混合债券型二级基金,"宋海娟,韩海平",中信保诚基金,否,0.7,0.2,开放申购|开放赎回,20.68
573003.OF,诺德增强收益,2009/3/4,2009/3/4,13.01,稳健型,混合债券型二级基金,"景辉,郝旭东,谢屹",诺德基金,否,0.75,0.2,开放申购|开放赎回,2.51
610008.OF,信达澳银信用债A,2013/5/14,2013/5/14,8.81,激进型,混合债券型二级基金,张旻,信达澳银基金,否,0.3,0.1,开放申购|开放赎回,6.54
620003.OF,金元顺安丰利,2009/3/23,2009/3/23,12.95,平衡型,混合债券型二级基金,"周博洋,贾丽杰",金元顺安基金,否,0.7,0.1,开放申购|开放赎回,15.08
620009.OF,金元顺安丰祥,2015/1/14,2015/1/14,7.14,稳健型,中长期纯债型基金,周博洋,金元顺安基金,否,0.3,0.1,开放申购|开放赎回,5.2
630007.OF,华商稳健双利A,2010/8/9,2010/8/9,11.57,平衡型,混合债券型二级基金,张永志,华商基金,否,0.7,0.2,开放申购|开放赎回,3.87
630009.OF,华商稳定增利A,2011/3/15,2011/3/15,10.98,激进型,混合债券型二级基金,张永志,华商基金,否,0.7,0.2,开放申购|开放赎回,43.55
690002.OF,民生加银增强收益A,2009/7/21,2009/7/21,12.62,平衡型,混合债券型二级基金,关键,民生加银基金,否,0.7,0.2,开放申购|开放赎回,12.32
750002.OF,安信目标收益A,2012/9/25,2012/9/25,9.44,稳健型,中长期纯债型基金,"张翼飞,黄琬舒",安信基金,否,0.7,0.2,暂停大额申购|开放赎回,41.63
