date,000906.SH,H11006.CSI,H11073.CSI,000832.CSI,CBA05821.CS,CBA05831.CS,CBA05841.CS,CBA05851.CS,CBA05861.CS,CBA02711.CS,CBA02721.CS,CBA02731.CS,CBA02741.CS,CBA02751.CS,CBA02761.CS,000300.SH,000905.SH,000852.SH,CBA05801.CS,CBA02701.CS
2022/9/15,-1.275596191,0.01191278,0.011254702,-0.790948853,0.007555466,0.023124885,0.022149098,0.031173899,0.104615137,0.00662164,0.011060707,0.020418243,0.026459589,0.015923144,0.028911049,-0.940640175,-2.274679066,-3.080274054,0.027055597,0.011730205
2022/9/16,-2.385956039,-0.051443948,0.005134056,-0.845168823,-0.02946986,-0.084807907,-0.103886995,-0.13143858,-0.033973958,0.000814082,-0.000793506,-0.001977039,-0.003869059,-0.034273534,-0.024622594,-2.345001709,-2.509787327,-2.084010657,-0.085079131,-0.001379862
2022/9/19,-0.261906558,0.018720784,0.011460284,-0.229080831,0.001442199,0.033211503,0.037811554,0.039720608,-0.016801284,0.013676468,0.013440107,0.016966087,0.019430158,0.006414666,0.018279082,-0.119066309,-0.694506244,-1.25659206,0.025594694,0.014193065
2022/9/20,0.28136866,0.063938979,-0.003059182,0.351301362,0.005653338,0.055950968,0.068862053,0.084096677,0.085648287,0.000922493,0.005355485,0.008412648,0.013245261,0.013978652,0.007646955,0.123116086,0.76343244,1.286444607,0.055386304,0.004779625
2022/9/21,-0.471634416,0.06549206,0.014518597,0.25230185,0.021862185,0.06418796,0.050697179,0.06776986,0.101838547,0.004232575,0.011454174,0.021834272,0.016396723,0.048608832,0.014427114,-0.739957101,0.340513679,-0.023587921,0.054426676,0.01157895
2022/9/22,-0.713571223,0.041836888,0.020737842,-0.233060882,0.023702887,0.032725733,0.034839959,0.035717801,0.020643257,0.006999731,0.021765397,0.018934224,0.006725758,0.014898287,0.04106326,-0.88097173,-0.212351392,0.102961109,0.031130853,0.015617456
2022/9/23,-0.579425707,-0.076239608,0.007982414,-0.510157997,-0.004151347,-0.052659237,-0.060075351,-0.10136147,-0.178011347,0.00303843,0.005056008,0.004135334,-0.002732155,0.025990765,0.072576195,-0.344316763,-1.27866184,-1.905134341,-0.063170504,0.004630321
2022/9/26,-0.729631992,-0.17790317,0.009692157,-0.484729717,-0.027100193,-0.110158746,-0.120169964,-0.220960751,-0.369819264,0.013455496,-0.002032214,-0.020124459,-0.01092892,-0.017720389,-0.009269568,-0.5016544,-1.414081994,-1.258563535,-0.138385506,-0.000197026
2022/9/27,1.575978429,0.019671833,-0.041563406,0.369695222,-0.032702074,-0.025637704,-0.034042282,-0.036144104,0.036076769,-0.009656275,-0.036184059,-0.037361823,-0.029301116,-0.021391991,-0.009654693,1.449631951,1.958814485,2.008142635,-0.029159767,-0.026647792
2022/9/28,-1.860044821,-0.09496012,-0.014828026,-0.802670112,-0.010269618,-0.03190562,-0.083861646,-0.165027811,-0.370481886,-0.00477435,-0.029701502,-0.035031181,-0.047139423,-0.042704721,-0.018494606,-1.633617185,-2.542769422,-3.099435924,-0.093250911,-0.022861129
2022/9/29,-0.020670401,-0.169897268,-0.019756349,-0.391813508,0.002942721,-0.036327373,-0.085153055,-0.168327691,-0.069648355,0.002170263,-0.015375962,-0.02317835,-0.030711872,-0.027553217,0.03464176,-0.040911954,0.040928883,0.284485423,-0.077726848,-0.011285336
2022/9/30,-0.685545793,-0.027579988,-0.048026231,-0.162509258,-0.011539742,-0.070392838,-0.097977592,-0.091453064,-0.523136717,0.012641505,-0.012352269,-0.032429613,-0.034045941,-0.032825235,-0.043323228,-0.581585211,-1.001723667,-1.668302942,-0.08705162,-0.008280133
2022/10/10,-2.000334738,0.172304784,0.104348981,-0.49830533,0.042885058,0.065535187,0.084654321,0.085774332,0.09691569,0.009919011,0.01883298,0.027627459,0.040502977,0.044999865,0.090960844,-2.206342462,-1.371213467,-2.291693371,0.070436652,0.018712086
2022/10/11,0.3513236,-0.014757005,0.011196362,0.433133827,0.021145255,0.049445573,0.033886117,0.081431993,0.104946765,0.008779893,0.022545769,0.024219051,0.029135202,0.058809312,0.049347571,0.181411319,0.865825108,0.555077209,0.052981872,0.01925015
2022/10/12,1.736648967,0.042444403,0.011557913,1.108894818,-0.010311173,-0.022943586,0.005248183,-0.047080903,0.042079632,0.004389561,0.012781313,0.009602573,0.025428085,0.028526286,0.045872043,1.518896424,2.39154278,2.906981671,-0.020678246,0.010287742
2022/10/13,-0.583341278,0.074798251,0.012437572,0.209396673,0.018032011,0.050737626,0.045057796,0.119810356,0.136713355,-0.006502768,0.003566422,0.013368806,0.009118168,0.034919284,0.057301785,-0.835912758,0.169777143,0.961931763,0.068558735,0.002756241
2022/10/14,2.408459627,0.166949611,0.019690374,0.831102457,0.019295957,0.065822193,0.082657064,0.17718051,0.417344437,-0.015228305,0.007231654,0.030454754,0.047519391,0.098719558,0.058944901,2.39287842,2.454462526,2.466879578,0.109629758,0.006791977
2022/10/17,0.255285715,0.005905678,0.058178781,-0.02466699,0.030118921,0.033188196,0.059082756,0.100282158,0.020170576,0.013929788,0.035016503,0.061671618,0.069922376,0.081296082,0.087432081,0.102592869,0.705747572,1.030113788,0.057676931,0.034498931
2022/10/18,-0.073035736,0.030182793,0.023247626,-0.032191794,0.007656999,0.001194596,0.002222232,0.006671606,0.00436941,-0.000867103,0.014209644,0.023221597,0.020017819,0.059953412,0.014870073,-0.211760992,0.333755774,0.557017727,0.004967401,0.011659668
2022/10/19,-1.46400509,0.008011957,0.020602238,-0.394531231,0.023544907,0.043004937,0.03999928,0.041909953,0.02218219,0.00379361,0.020742143,0.0325761,0.028069687,0.040194465,0.04101809,-1.608361399,-1.042983818,-0.727626525,0.036189265,0.017659632
