,R1,R4,R9
004361.OF,9.66,9.65,9.67
004405.OF,5.92,5.91,5.93
004413.OF,7.67,7.66,7.68
004427.OF,12.96,12.96,12.94
004436.OF,9.6,9.6,9.6
004442.OF,6.3,6.3,6.33
004446.OF,8.16,8.16,8.19
004457.OF,9.64,9.63,9.67
004486.OF,6.98,6.97,6.99
004503.OF,4.93,4.93,4.94
004517.OF,3.76,3.76,3.75
004571.OF,6.41,6.41,6.42
004585.OF,4.8,4.79,4.8
004607.OF,15.28,15.28,15.26
004608.OF,9.36,9.36,9.39
004612.OF,5.98,5.98,6.01
004617.OF,10.15,10.15,10.14
004647.OF,21.49,21.49,21.47
004648.OF,4.45,4.45,4.46
004680.OF,8.05,8.05,8.13
004687.OF,13.54,13.53,13.49
004707.OF,9.3,9.3,9.29
004710.OF,5.37,5.37,5.42
004720.OF,7.22,7.21,7.21
004731.OF,6.31,6.31,6.33
004734.OF,7.79,7.79,7.79
004738.OF,7.09,7.09,7.09
004750.OF,8.92,8.92,8.65
004756.OF,6.86,6.86,6.97
004760.OF,10.62,10.62,10.63
004772.OF,7.1,7.1,7.09
004774.OF,14.23,14.23,13.83
004801.OF,6.04,6.04,6.25
004807.OF,3.0,3.0,3.0
004823.OF,5.81,5.83,5.84
004852.OF,8.94,8.94,8.87
004885.OF,10.03,10.03,10.0
004902.OF,8.2,8.2,8.18
004913.OF,10.47,10.47,10.55
004916.OF,14.6,14.6,14.65
004946.OF,6.91,6.91,6.89
004952.OF,4.82,4.83,4.87
004975.OF,4.07,4.07,4.1
004982.OF,12.41,12.42,12.45
004988.OF,7.62,7.62,7.63
005014.OF,5.57,5.57,5.73
005039.OF,7.67,7.68,7.73
005059.OF,5.26,5.27,5.23
005078.OF,7.67,7.67,7.7
005121.OF,10.73,10.73,10.93
005128.OF,11.38,11.37,11.21
005140.OF,10.64,10.64,10.7
005144.OF,8.01,8.01,8.15
005159.OF,6.48,6.48,6.47
005166.OF,13.22,13.22,13.24
005167.OF,8.64,8.64,8.63
005177.OF,7.21,7.21,7.27
005212.OF,5.2,5.2,5.25
005252.OF,11.98,11.98,12.0
005271.OF,14.69,14.68,14.71
005274.OF,10.43,10.43,10.48
005291.OF,12.61,12.61,12.57
005305.OF,9.73,9.73,9.73
005317.OF,10.91,10.91,10.95
005329.OF,12.35,12.35,12.32
005397.OF,8.95,8.95,8.96
005416.OF,5.29,5.29,5.25
005522.OF,10.48,10.48,10.5
005523.OF,3.49,3.5,3.5
005552.OF,8.07,8.07,8.34
005579.OF,11.42,11.42,11.5
005652.OF,5.44,5.44,5.44
005656.OF,6.12,6.12,6.12
005664.OF,7.15,7.16,7.27
005678.OF,7.02,7.01,7.01
005679.OF,12.32,12.32,12.42
005686.OF,8.0,8.0,7.96
005706.OF,5.99,5.99,6.02
005746.OF,9.65,9.65,9.73
005750.OF,6.82,6.82,6.78
005823.OF,4.57,4.56,4.59
005843.OF,6.75,6.75,6.79
005886.OF,8.74,8.74,8.9
005906.OF,8.6,8.61,8.58
