,R2,R3,R5,R6,R7,R8
002461.OF,7.61,2.04,29.82,29.82,29.84,2.09
002474.OF,16.34,1.97,30.13,30.13,30.13,4.77
002475.OF,10.44,3.84,35,35.03,35.07,3.83
002489.OF,12.79,5.18,29.72,29.71,29.72,4.71
002490.OF,13.02,3.47,24.79,24.78,24.79,3.9
002498.OF,8.38,3.81,27.1,27.1,27.11,3.74
002501.OF,12.17,2.93,31.51,31.5,31.51,3.35
002502.OF,8.73,2.07,28.53,28.53,28.56,1.7
002514.OF,10.4,2.03,28.92,28.92,28.92,1.4
002518.OF,20.55,11.75,31.93,31.92,31.92,6.43
002521.OF,7.3,1.85,25.44,25.44,25.44,1.8
002535.OF,14.81,4.37,32.61,32.61,32.64,4.98
002574.OF,10.68,3.2,25.25,25.25,25.26,4.23
002586.OF,23.33,10.03,33.93,33.93,33.93,7.74
002600.OF,7.2,3.79,20.11,20.2,20.11,2.33
002602.OF,21.88,5.48,31.06,31.05,31.06,4.43
002612.OF,11.97,4.68,25.68,25.68,25.68,5.85
002614.OF,19.28,5.41,28.4,28.4,28.41,7.63
002616.OF,11.74,4.94,29.17,29.16,29.16,3.8
002618.OF,8.82,3.83,32.68,32.69,32.71,2.52
002622.OF,27.44,5.81,31.99,31.99,32,8.14
002636.OF,19.25,5.51,29.43,29.43,29.43,7.11
002639.OF,10.72,4.74,25.5,25.48,25.49,4.38
002644.OF,15.49,6.21,31.58,31.5,31.58,6.83
002651.OF,8.95,2.12,25.13,25.11,25.12,2.73
002657.OF,7.39,3.79,24.84,24.84,24.84,3.77
002664.OF,11.71,3.84,26.13,26.13,26.17,3.47
002690.OF,14.8,4.64,27.92,27.9,27.91,7
002701.OF,8.62,2.44,25.99,25.96,25.97,2.8
002711.OF,17.41,2.67,26.6,26.6,26.6,4.71
002714.OF,11.89,5.06,22.32,22.31,22.32,4.99
002720.OF,11.95,3.45,28.73,28.77,28.81,3.79
002723.OF,8.51,3.59,21.7,21.7,21.71,4.09
