code,std1,std3,std4,std8,,,,,
002932.OF,4.77407665,3.746046717,4.73223087,3.678752227,,,,,
002934.OF,3.823469765,4.071275656,3.817195831,4.117675413,,,,,
002946.OF,6.911670681,6.126473838,6.901916889,6.587009003,,,,,
002961.OF,4.269609154,4.277283707,4.272837524,4.184888877,,,,,
002969.OF,7.863560465,7.559102482,7.860891255,7.827597001,,,,,
002971.OF,9.393847722,6.278179262,9.387300977,8.147476392,,,,,
002985.OF,12.82783759,12.61058107,12.83099242,12.44537892,,,,,
002986.OF,4.365622932,4.488845298,4.364039196,4.489402629,,,,,
003026.OF,15.70758472,14.80122167,15.70359678,14.9259096,,,,,
003028.OF,7.559663885,7.135807933,7.559920453,7.043419527,,,,,
003030.OF,4.382513762,4.145545388,4.384532365,4.482282196,,,,,
003037.OF,5.980779674,5.884946657,5.978998709,6.075628297,,,,,
003044.OF,3.831898164,3.816484634,3.829946008,3.827947076,,,,,
003062.OF,13.67047048,13.52599142,13.66560531,13.52450055,,,,,
003105.OF,4.677117892,4.3198246,4.686942122,4.374931789,,,,,
003107.OF,9.850692911,9.649809856,9.846604823,9.646432498,,,,,
003109.OF,3.823199907,4.069562143,3.819710969,4.097189922,,,,,
003115.OF,7.499229567,7.537586531,7.509759794,7.56758028,,,,,
003117.OF,6.771425919,6.566281406,6.773740943,6.42102031,,,,,
003123.OF,13.33665371,12.68404814,13.34386769,13.3703387,,,,,
003133.OF,7.523200902,7.042477134,7.533899022,6.999342592,,,,,
003135.OF,5.674795792,5.721753058,5.672487805,5.839316349,,,,,
003142.OF,4.594319708,4.899774893,4.598682302,4.858387167,,,,,
003154.OF,8.675736198,8.471134006,8.675103106,8.562455727,,,,,
003161.OF,5.343397977,5.741439664,5.341399927,5.561851193,,,,,
003167.OF,4.106380681,3.982124905,4.106136996,4.041345566,,,,,
003176.OF,8.214045144,7.849653004,8.231028234,7.420233685,,,,,
003182.OF,5.240624364,5.018848022,5.243665853,5.251495968,,,,,
003186.OF,7.868518926,7.820314732,7.877177304,8.213410034,,,,,
003187.OF,12.03961946,11.40416607,12.03679821,11.88132997,,,,,
003218.OF,16.49338165,17.08845732,16.49288735,16.92110294,,,,,
003221.OF,15.10716283,13.92324628,15.09607344,14.52558923,,,,,
003234.OF,9.918484036,10.26213445,9.916875973,10.29195301,,,,,
003275.OF,6.667836612,4.996823521,6.654603261,5.069541536,,,,,
003282.OF,1.966226028,1.948979449,1.968327303,2.116714014,,,,,
003295.OF,2.814947206,2.440125133,2.813081183,2.816478187,,,,,
003301.OF,10.50309908,10.28883831,10.57735748,10.64483985,,,,,
003331.OF,9.381944872,9.347721009,9.376991546,9.518304417,,,,,
003336.OF,7.298240875,7.110109967,7.297809934,7.147320846,,,,,
003341.OF,16.83521859,15.87089206,16.83161696,16.84171095,,,,,
003343.OF,6.126892306,5.828803631,6.125681399,5.955356169,,,,,
003345.OF,8.982657244,8.64559838,8.979136514,8.425893283,,,,,
003360.OF,3.955859331,3.803739828,3.955850737,3.932088812,,,,,
003379.OF,3.444975533,3.581973299,3.44453183,3.695130375,,,,,
003432.OF,4.278871935,3.528170956,4.274257637,3.696129625,,,,,
003476.OF,5.940048436,5.526082495,5.937901543,5.751155337,,,,,
003484.OF,6.27232494,6.305863963,6.275090785,6.362443259,,,,,
003493.OF,2.860851247,3.048697555,3.231092808,3.119438474,,,,,
003495.OF,8.79944187,8.500566718,8.792195861,8.582251427,,,,,
003502.OF,9.406496882,8.918645671,9.397701266,8.98540955,,,,,
003504.OF,14.53891746,13.69688033,14.53401178,13.78411378,,,,,
003591.OF,6.369222425,6.346821426,6.375428682,6.286542561,,,,,
003603.OF,6.552898083,4.842418683,6.554191474,5.759203613,,,,,
003612.OF,8.794954999,8.556743638,8.786883568,8.559254569,,,,,
003626.OF,15.15424513,13.5409915,15.1299255,14.53815472,,,,,
003628.OF,7.497747264,6.574932825,7.477624871,7.229005723,,,,,
003637.OF,19.38543019,19.26012015,19.38054627,19.21138125,,,,,
003663.OF,9.54490748,10.38050774,9.529621469,10.4689394,,,,,
003680.OF,13.73495823,12.88342834,13.71824491,12.80254655,,,,,
003692.OF,7.135407766,7.061538957,7.135872266,7.067450176,,,,,
003704.OF,8.203456961,9.382055972,8.216893965,9.748504376,,,,,
003734.OF,14.0008347,13.45778889,13.99696961,14.03365648,,,,,
003754.OF,7.968010165,7.539821628,7.973719988,7.300988338,,,,,
003780.OF,8.8268541,8.171589244,8.836078991,8.554768875,,,,,
003799.OF,5.224770364,5.031972551,5.272073957,4.884605543,,,,,
003805.OF,5.142236567,4.148648339,5.138574247,4.405749601,,,,,
003813.OF,5.346396753,4.363715011,5.345208367,5.046539869,,,,,
003828.OF,9.59990216,9.673748084,9.59462842,9.322811879,,,,,
003839.OF,7.720613666,7.040991377,7.713055837,7.341755916,,,,,
003842.OF,5.727645917,5.377904301,5.730908759,5.741426648,,,,,
003848.OF,4.906152134,4.902680213,4.907615026,4.871728086,,,,,
003850.OF,7.219683104,7.029751221,7.224257255,6.947845705,,,,,
003854.OF,10.34966436,11.18154877,10.33989877,11.21586146,,,,,
003861.OF,3.895919532,2.892003292,3.909962776,3.020092477,,,,,
003877.OF,9.178567106,9.26771999,9.175927871,8.965975223,,,,,
003882.OF,7.462466953,6.861632426,7.498860142,7.317588772,,,,,
003900.OF,4.164525014,4.793953323,4.162976989,4.30261738,,,,,
003950.OF,5.764018455,6.105010545,5.768432627,6.431188192,,,,,
003966.OF,9.301966952,9.212342931,9.298410962,9.296420939,,,,,
004005.OF,13.44740837,12.35949966,13.43837562,13.46415654,,,,,
004010.OF,8.278355528,8.154927245,8.284220733,8.20338286,,,,,
004024.OF,5.415680708,4.984129278,5.415092035,5.297159452,,,,,
004025.OF,12.03516977,11.726781,12.03245111,12.27650411,,,,,
004081.OF,13.48421985,12.61211171,13.47597461,13.54990032,,,,,
004083.OF,3.632127962,4.022937521,3.640843207,4.486987357,,,,,
004093.OF,14.02344217,14.31262026,14.01534327,14.18378776,,,,,
004100.OF,3.837536943,2.845886424,3.836692253,3.347424557,,,,,
004129.OF,5.805523132,7.485432502,5.824453444,6.951442314,,,,,
004131.OF,11.77795813,11.80515851,11.77797064,12.04392347,,,,,
004149.OF,6.319126777,6.752498624,6.319244027,6.645008165,,,,,
004153.OF,2.196596401,2.930218557,2.205893985,3.190578145,,,,,
004157.OF,9.758640553,10.78832921,9.760581213,10.1675305,,,,,
004175.OF,6.467281714,6.366035355,6.474608321,7.668731152,,,,,
004202.OF,11.01364008,9.668993904,11.01277426,10.1418818,,,,,
004206.OF,8.275547005,7.431713989,8.285620125,7.129294752,,,,,
004218.OF,9.99604976,9.252588704,10.00476082,9.762256288,,,,,
004225.OF,8.775042559,8.619236729,8.782526307,8.328715824,,,,,
004258.OF,7.73308901,7.6088078,7.741768068,7.268440123,,,,,
004265.OF,12.707303,12.06902701,12.70565707,12.12725029,,,,,
004270.OF,14.81795871,12.96074729,14.80526274,15.37112773,,,,,
004274.OF,7.024027513,7.368528785,7.020456569,6.873338337,,,,,
004276.OF,7.886890302,7.48736703,7.878933795,7.89039995,,,,,
004278.OF,4.656962589,4.682038727,4.669773515,4.7282563,,,,,
004279.OF,5.40114697,6.154398263,5.413547371,5.358805647,,,,,
004301.OF,6.233033064,6.344191184,6.206793913,6.1482127,,,,,
004318.OF,15.2455701,14.93677369,15.24174504,15.1760585,,,,,
004340.OF,3.535398782,3.080901165,3.547469683,2.990706416,,,,,
004353.OF,11.22227112,10.49041885,11.21890079,10.48660114,,,,,
004361.OF,10.88646326,11.37288976,10.87841556,11.26757871,,,,,
004405.OF,10.70334281,10.35425772,10.70711323,10.04216688,,,,,
004413.OF,6.613331656,7.535145448,6.612495479,7.081297655,,,,,
004427.OF,15.64683039,15.16571463,15.66588957,15.10882214,,,,,
004436.OF,7.096149805,6.140658085,7.092785934,6.761826518,,,,,
004442.OF,7.433567163,6.984876006,7.436418483,7.048980259,,,,,
004446.OF,10.5902972,10.49612402,10.59202498,10.44230026,,,,,
004457.OF,13.69344455,13.36344054,13.69302557,13.95328387,,,,,
004486.OF,5.798553333,5.590318831,5.794227835,5.788323438,,,,,
004503.OF,3.831856549,3.581352668,3.833321513,3.77320383,,,,,
004517.OF,4.327201127,3.754018061,4.319531344,4.052544627,,,,,
004571.OF,7.997549434,7.672407853,7.99487955,7.980535717,,,,,
004585.OF,3.993269922,3.237396139,3.986689004,3.392577158,,,,,
004607.OF,9.965318253,9.02095358,9.962180389,9.656408047,,,,,
004608.OF,7.377185812,8.631146803,7.377117963,8.178070418,,,,,
004612.OF,5.983157163,5.837544865,5.98191419,5.569359141,,,,,
004617.OF,6.198609992,7.377985125,6.204126294,6.471756,,,,,
004647.OF,19.92311544,19.63028935,19.91413294,18.84749203,,,,,
004648.OF,4.314615284,3.650357436,4.309123332,4.034007091,,,,,
004680.OF,6.926328491,7.433299218,6.903597116,7.352058699,,,,,
004687.OF,11.68821165,11.32769719,11.6801292,12.18496397,,,,,
004707.OF,11.51034298,12.97668087,11.52094678,13.1557018,,,,,
004710.OF,6.038382989,5.818397647,6.037933846,5.856313878,,,,,
004720.OF,11.46716008,11.43372484,11.46777365,11.19370901,,,,,
004731.OF,9.67698532,9.547275164,9.673674892,9.430835732,,,,,
004734.OF,7.238571664,7.149974832,7.228573215,7.677191708,,,,,
004738.OF,7.737325688,6.753795973,7.730768375,7.281970441,,,,,
004750.OF,7.399754236,6.875417931,7.327554899,7.437759733,,,,,
004756.OF,9.397777319,8.650953128,9.394817967,9.087725002,,,,,
004760.OF,8.865148151,8.529032996,8.875581755,8.404795973,,,,,
004772.OF,7.67717729,6.95001925,7.672621264,7.34792007,,,,,
004774.OF,13.18929127,11.60403995,13.18130804,13.45618023,,,,,
004801.OF,6.865851783,6.801305183,6.863261922,6.83574746,,,,,
004807.OF,2.029073707,2.607368734,2.030403439,2.481042612,,,,,
004823.OF,7.539087653,6.9229611,7.531561564,7.477259217,,,,,
004852.OF,13.73313832,11.83089684,13.72245743,13.03194907,,,,,
004885.OF,11.74698377,11.6730424,11.74539132,11.67480343,,,,,
004902.OF,7.21263308,6.963101442,7.206900571,7.028895488,,,,,
004913.OF,10.80873228,11.6471126,10.80452711,11.0454859,,,,,
004916.OF,11.28065474,11.70281531,11.27532461,11.54062183,,,,,
004946.OF,5.743630049,5.215189057,5.742644202,6.26502076,,,,,
004952.OF,4.766164531,4.798679508,4.773989295,4.933092521,,,,,
004975.OF,2.540805883,2.7251951,2.541913015,2.786312705,,,,,
004982.OF,10.40528332,10.24967694,10.40907802,11.01342326,,,,,
004988.OF,8.002226381,6.950678932,7.990020162,7.591539599,,,,,
005014.OF,4.782320677,4.257029941,4.768324536,4.429045573,,,,,
005039.OF,5.685583522,5.769099592,5.685734983,5.949204064,,,,,
005059.OF,5.431631715,4.800742725,5.424237036,4.889133006,,,,,
005078.OF,6.765211209,6.200062503,6.758090087,6.638683129,,,,,
